dem_type,nominal_grid,source_basis,zoom,x,y,tile_url,west_lon,south_lat,east_lon,north_lat,verification_status
DEM1A,~1 m,airborne laser,17,115980,51680,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51680.png,138.548584,35.5299911,138.5513306,35.5322262,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51681,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51681.png,138.548584,35.5277558,138.5513306,35.5299911,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51682,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51682.png,138.548584,35.5255205,138.5513306,35.5277558,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51683,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51683.png,138.548584,35.5232852,138.5513306,35.5255205,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51684,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51684.png,138.548584,35.5210498,138.5513306,35.5232852,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51685,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51685.png,138.548584,35.5188143,138.5513306,35.5210498,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51686,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51686.png,138.548584,35.5165787,138.5513306,35.5188143,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51687,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51687.png,138.548584,35.5143431,138.5513306,35.5165787,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51688,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51688.png,138.548584,35.5121075,138.5513306,35.5143431,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51689,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51689.png,138.548584,35.5098717,138.5513306,35.5121075,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
DEM1A,~1 m,airborne laser,17,115980,51690,https://cyberjapandata.gsi.go.jp/xyz/dem1a_png/17/115980/51690.png,138.548584,35.5076359,138.5513306,35.5098717,candidate URL generated from official GSI tile scheme; existence/coverage not locally verified
